"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Lahore","Lahore","31.5497","74.3436","Pakistan","PK","PAK","Punjab","admin","11021000","1586801463"
"Paris","Paris","48.8566","2.3522","France","FR","FRA","Île-de-France","primary","11020000","1250015082"
"London","London","51.5072","-0.1275","United Kingdom","GB","GBR","London, City of","primary","10979000","1826645935"
"Linyi","Linyi","35.0606","118.3425","China","CN","CHN","Shandong","","10820000","1156086320"
"Tianjin","Tianjin","39.1467","117.2056","China","CN","CHN","Tianjin","admin","10800000","1156174046"
"Shijiazhuang","Shijiazhuang","38.0422","114.5086","China","CN","CHN","Hebei","admin","10784600","1156217541"
"Baoding","Baoding","38.8671","115.4845","China","CN","CHN","Hebei","","10700000","1156256829"
"Zhoukou","Zhoukou","33.6250","114.6418","China","CN","CHN","Henan","minor","9901000","1156272098"
"Lima","Lima","-12.0500","-77.0333","Peru","PE","PER","Lima","primary","9848000","1604728603"
"Hyderābād","Hyderabad","17.3667","78.4667","India","IN","IND","Telangana","admin","9746000","1356871768"
"Bogotá","Bogota","4.6126","-74.0705","Colombia","CO","COL","Bogotá","primary","9464000","1170483426"
"Weifang","Weifang","36.7167","119.1000","China","CN","CHN","Shandong","","9373000","1156912965"
"Nagoya","Nagoya","35.1167","136.9333","Japan","JP","JPN","Aichi","admin","9113000","1392407472"
"Wuhan","Wuhan","30.5872","114.2881","China","CN","CHN","Hubei","admin","8962000","1156117184"
"Heze","Heze","35.2333","115.4333","China","CN","CHN","Shandong","minor","8750000","1156225008"
"Ganzhou","Ganzhou","25.8292","114.9336","China","CN","CHN","Jiangxi","minor","8677600","1156832475"
"Tongshan","Tongshan","34.2610","117.1859","China","CN","CHN","Jiangsu","minor","8669000","1156241678"
"Chicago","Chicago","41.8373","-87.6862","United States","US","USA","Illinois","","8604203","1840000494"
"Handan","Handan","36.6116","114.4894","China","CN","CHN","Hebei","","8499000","1156957080"
"Luanda","Luanda","-8.8383","13.2344","Angola","AO","AGO","Luanda","primary","8417000","1024949724"
"Fuyang","Fuyang","32.8986","115.8045","China","CN","CHN","Anhui","","8360000","1156248008"
"Kuala Lumpur","Kuala Lumpur","3.1478","101.6953","Malaysia","MY","MYS","Kuala Lumpur","primary","8285000","1458988644"
"Jining","Jining","35.4000","116.5667","China","CN","CHN","Shandong","","8023000","1156504601"
"Dongguan","Dongguan","23.0475","113.7493","China","CN","CHN","Guangdong","minor","7981000","1156478242"
"Hanoi","Hanoi","21.0245","105.8412","Vietnam","VN","VNM","Hà Nội","primary","7785000","1704413791"
"Pune","Pune","18.5196","73.8553","India","IN","IND","Mahārāshtra","","7764000","1356081074"
"Chongqing","Chongqing","29.5500","106.5069","China","CN","CHN","Chongqing","admin","7739000","1156936556"
"Changchun","Changchun","43.9000","125.2000","China","CN","CHN","Jilin","admin","7674439","1156078103"
"Zhumadian","Zhumadian","32.9773","114.0253","China","CN","CHN","Henan","","7640000","1156184822"
"Ningbo","Ningbo","29.8750","121.5492","China","CN","CHN","Zhejiang","minor","7639000","1156170787"
"Onitsha","Onitsha","6.1667","6.7833","Nigeria","NG","NGA","Anambra","minor","7635000","1566593483"
"Nanjing","Nanjing","32.0500","118.7667","China","CN","CHN","Jiangsu","admin","7496000","1156644065"
"Hefei","Hefei","31.8639","117.2808","China","CN","CHN","Anhui","admin","7457027","1156332710"
